id,game_day,kickoff_time,stadium_name,spectators_num,weather,temperature,humidity,home_team_name,home_team_id,away_team_name,away_team_id,home_score,home_score_1st,home_score_2nd,away_score,away_score_1st,away_score_2nd,home_sh,home_ck,home_fk,away_sh,away_ck,away_fk
22783,2020/02/21,19:03,Ｓｈｏｎａｎ ＢＭＷ スタジアム平塚,13071,晴,11.7,65.0,湘南ベルマーレ,shonan,浦和レッズ,urawa,2,1,1,3,2,1,11,7,10,8,5,12
23949,2020/07/26,19:03,等々力陸上競技場,4724,曇のち雷雨,26.7,85.0,川崎フロンターレ,kawasakif,湘南ベルマーレ,shonan,3,0,3,1,0,1,24,6,5,3,2,5
23948,2020/07/26,19:03,三協フロンテア柏スタジアム,2500,曇一時雨,26.0,82.0,柏レイソル,kashiwa,ベガルタ仙台,sendai,5,2,3,1,0,1,14,4,11,10,4,12
23947,2020/07/26,18:33,県立カシマサッカースタジアム,3027,曇一時雨,24.1,88.0,鹿島アントラーズ,kashima,ＦＣ東京,ftokyo,2,1,1,2,2,0,21,7,14,14,6,10
23945,2020/07/26,18:03,ＩＡＩスタジアム日本平,2697,雨のち雷雨のち雨,25.3,85.0,清水エスパルス,shimizu,大分トリニータ,oita,4,1,3,2,0,2,16,7,15,4,1,4
23944,2020/07/26,18:03,ニッパツ三ツ沢球技場,2580,晴,26.5,90.0,横浜ＦＣ,yokohamafc,浦和レッズ,urawa,0,0,0,2,0,2,12,5,12,12,7,11
23943,2020/07/26,13:08,札幌ドーム,3305,屋内,24.2,58.0,北海道コンサドーレ札幌,sapporo,横浜Ｆ・マリノス,yokohamafm,3,2,1,1,1,0,14,5,19,9,5,21
23939,2020/07/22,19:33,ユアテックスタジアム仙台,2507,曇,26.0,77.0,ベガルタ仙台,sendai,川崎フロンターレ,kawasakif,2,2,0,3,0,3,9,3,7,17,7,12
23940,2020/07/22,19:33,埼玉スタジアム２００２,4127,曇のち雨,27.1,75.0,浦和レッズ,urawa,柏レイソル,kashiwa,0,0,0,4,1,3,14,5,13,10,1,13
23942,2020/07/22,19:33,昭和電工ドーム大分,3603,曇,27.5,77.0,大分トリニータ,oita,名古屋グランパス,nagoya,0,0,0,3,1,2,3,7,8,9,3,13
23941,2020/07/22,19:33,ヤンマースタジアム長居,4981,雨のち曇,28.5,73.0,セレッソ大阪,cosaka,ヴィッセル神戸,kobe,0,0,0,0,0,0,10,5,15,7,2,10
23938,2020/07/22,19:08,札幌ドーム,3151,屋内,23.0,66.0,北海道コンサドーレ札幌,sapporo,ＦＣ東京,ftokyo,1,1,0,1,0,1,8,4,17,11,4,24
23937,2020/07/22,19:03,駅前不動産スタジアム,3117,曇のち雨,28.1,71.0,サガン鳥栖,tosu,清水エスパルス,shimizu,1,1,0,1,1,0,12,10,9,8,7,9
23936,2020/07/22,19:03,パナソニック スタジアム 吹田,4142,晴のち曇時々雨,28.9,26.0,ガンバ大阪,gosaka,サンフレッチェ広島,hiroshima,1,1,0,0,0,0,9,5,12,13,5,9
