id,game_day,kickoff_time,stadium_name,spectators_num,weather,temperature,humidity,home_team_name,home_team_id,away_team_name,away_team_id,home_score,home_score_1st,home_score_2nd,away_score,away_score_1st,away_score_2nd,home_sh,home_ck,home_fk,away_sh,away_ck,away_fk
13998,2012/03/10,14:04,札幌ドーム,25353,屋内,22.5,32.0,コンサドーレ札幌,sapporo,ジュビロ磐田,iwata,0,0,0,0,0,0,7,4,16,14,5,20
14044,2012/04/14,16:03,豊田スタジアム,12896,屋内,15.4,70.0,名古屋グランパス,nagoya,コンサドーレ札幌,sapporo,3,2,1,1,0,1,18,5,15,12,10,14
14042,2012/04/14,15:04,埼玉スタジアム２００２,25894,雨,10.4,78.0,浦和レッズ,urawa,ヴィッセル神戸,kobe,2,0,2,0,0,0,14,5,16,8,5,14
14041,2012/04/14,14:03,ニッパツ三ツ沢球技場,7101,雨,11.6,80.0,横浜Ｆ・マリノス,yokohamafm,大宮アルディージャ,omiya,1,0,1,1,0,1,8,5,15,9,12,16
14040,2012/04/14,13:04,味の素スタジアム,19279,雨,10.3,87.0,ＦＣ東京,ftokyo,鹿島アントラーズ,kashima,1,0,1,2,0,2,10,3,21,8,4,13
14039,2012/04/14,13:03,日立柏サッカー場,12318,雨,10.2,93.0,柏レイソル,kashiwa,ベガルタ仙台,sendai,2,0,2,3,1,2,10,6,20,8,4,22
14038,2012/04/08,16:03,等々力陸上競技場,20996,晴,12.9,35.0,川崎フロンターレ,kawasakif,ＦＣ東京,ftokyo,0,0,0,1,0,1,13,7,19,8,7,22
14037,2012/04/07,19:04,広島ビッグアーチ,12318,晴,3.4,76.0,サンフレッチェ広島,hiroshima,ガンバ大阪,gosaka,4,2,2,1,0,1,19,1,16,7,7,15
14036,2012/04/07,17:04,県立カシマサッカースタジアム,23507,晴のち曇,9.3,31.0,鹿島アントラーズ,kashima,浦和レッズ,urawa,1,1,0,3,3,0,18,9,19,12,2,14
14035,2012/04/07,16:03,ＮＡＣＫ５スタジアム大宮,8180,曇,9.8,20.0,大宮アルディージャ,omiya,セレッソ大阪,cosaka,0,0,0,3,0,3,9,2,22,15,8,18
14034,2012/04/07,15:04,東北電力ビッグスワンスタジアム,15854,曇,3.4,63.0,アルビレックス新潟,niigata,横浜Ｆ・マリノス,yokohamafm,0,0,0,0,0,0,5,2,21,7,11,21
14030,2012/04/07,14:05,札幌ドーム,14023,屋内,20.8,32.0,コンサドーレ札幌,sapporo,柏レイソル,kashiwa,0,0,0,2,1,1,7,3,11,23,8,14
14033,2012/04/07,14:04,ホームズスタジアム神戸,12709,晴,12.0,28.0,ヴィッセル神戸,kobe,清水エスパルス,shimizu,0,0,0,1,0,1,10,4,24,8,3,21
14032,2012/04/07,14:03,豊田スタジアム,13824,晴,9.6,26.0,名古屋グランパス,nagoya,サガン鳥栖,tosu,1,1,0,0,0,0,7,3,20,14,8,11
14031,2012/04/07,14:03,ユアテックスタジアム仙台,13147,曇,6.1,53.0,ベガルタ仙台,sendai,ジュビロ磐田,iwata,2,0,2,2,0,2,10,7,19,3,3,23
14029,2012/03/31,19:04,ベストアメニティスタジアム,7719,晴,10.1,25.0,サガン鳥栖,tosu,ヴィッセル神戸,kobe,3,2,1,0,0,0,13,5,17,10,6,20
14291,2012/12/01,15:35,県立カシマサッカースタジアム,19141,曇のち晴,6.7,57.0,鹿島アントラーズ,kashima,柏レイソル,kashiwa,2,1,1,0,0,0,12,4,22,16,4,17
14299,2012/12/01,15:34,ホームズスタジアム神戸,22224,晴,10.3,40.0,ヴィッセル神戸,kobe,サンフレッチェ広島,hiroshima,0,0,0,1,0,1,12,3,15,7,2,15
14298,2012/12/01,15:34,大阪長居スタジアム,18487,曇時々晴,8.9,48.0,セレッソ大阪,cosaka,川崎フロンターレ,kawasakif,2,0,2,2,1,1,12,6,13,10,3,18
14297,2012/12/01,15:34,ヤマハスタジアム（磐田）,14389,晴,10.8,46.0,ジュビロ磐田,iwata,ガンバ大阪,gosaka,2,1,1,1,0,1,12,4,20,14,8,11
14296,2012/12/01,15:34,アウトソーシングスタジアム日本平,14729,晴,11.3,31.0,清水エスパルス,shimizu,大宮アルディージャ,omiya,0,0,0,0,0,0,14,5,27,4,5,8
14293,2012/12/01,15:34,味の素スタジアム,30944,晴,5.6,65.0,ＦＣ東京,ftokyo,ベガルタ仙台,sendai,6,2,4,2,1,1,14,2,16,11,2,15
14292,2012/12/01,15:34,埼玉スタジアム２００２,51879,晴,5.6,71.0,浦和レッズ,urawa,名古屋グランパス,nagoya,2,1,1,0,0,0,13,9,14,12,3,20
14295,2012/12/01,15:33,東北電力ビッグスワンスタジアム,28055,雨,5.3,52.0,アルビレックス新潟,niigata,コンサドーレ札幌,sapporo,4,2,2,1,0,1,18,10,14,6,3,14
14294,2012/12/01,15:33,日産スタジアム,26642,晴,7.3,61.0,横浜Ｆ・マリノス,yokohamafm,サガン鳥栖,tosu,1,0,1,0,0,0,12,6,20,5,2,14
14282,2012/11/24,17:34,札幌ドーム,19587,屋内,21.9,33.0,コンサドーレ札幌,sapporo,横浜Ｆ・マリノス,yokohamafm,0,0,0,2,1,1,3,1,9,18,5,15
14286,2012/11/24,17:33,等々力陸上競技場,19916,晴,10.2,51.0,川崎フロンターレ,kawasakif,清水エスパルス,shimizu,2,1,1,1,0,1,12,1,12,15,5,19
14285,2012/11/24,17:33,日立柏サッカー場,12406,晴,8.2,72.0,柏レイソル,kashiwa,ヴィッセル神戸,kobe,1,0,1,0,0,0,14,11,15,4,1,21
