id,game_day,kickoff_time,stadium_name,spectators_num,weather,temperature,humidity,home_team_name,home_team_id,away_team_name,away_team_id,home_score,home_score_1st,home_score_2nd,away_score,away_score_1st,away_score_2nd,home_sh,home_ck,home_fk,away_sh,away_ck,away_fk
14837,2013/03/02,14:04,日産スタジアム,24298,晴,12.3,23.0,横浜Ｆ・マリノス,yokohamafm,湘南ベルマーレ,shonan,4,1,3,2,1,1,19,4,22,12,5,16
14873,2013/04/06,14:03,味の素スタジアム,13859,曇のち雨,18.0,58.0,ＦＣ東京,ftokyo,大宮アルディージャ,omiya,0,0,0,1,0,1,10,5,13,7,2,19
14871,2013/03/30,19:04,日産スタジアム,23698,曇,9.6,63.0,横浜Ｆ・マリノス,yokohamafm,ＦＣ東京,ftokyo,3,0,3,2,1,1,8,3,16,11,6,18
14870,2013/03/30,16:03,東北電力ビッグスワンスタジアム,29095,晴,6.3,35.0,アルビレックス新潟,niigata,浦和レッズ,urawa,0,0,0,2,1,1,10,6,15,6,6,18
14867,2013/03/30,15:04,日立柏サッカー場,9144,曇,8.6,67.0,柏レイソル,kashiwa,大分トリニータ,oita,3,1,2,1,0,1,15,3,14,11,6,15
14869,2013/03/30,15:03,名古屋市瑞穂陸上競技場,10706,晴時々曇,17.2,24.0,名古屋グランパス,nagoya,湘南ベルマーレ,shonan,2,1,1,0,0,0,9,4,12,10,3,6
14868,2013/03/30,15:03,等々力陸上競技場,14108,曇,9.7,56.0,川崎フロンターレ,kawasakif,ヴァンフォーレ甲府,kofu,1,0,1,1,1,0,16,7,13,7,3,18
14866,2013/03/30,15:03,ＮＡＣＫ５スタジアム大宮,11492,曇,9.6,64.0,大宮アルディージャ,omiya,鹿島アントラーズ,kashima,3,1,2,1,1,0,15,1,16,14,5,17
14865,2013/03/30,14:04,ヤマハスタジアム（磐田）,8741,晴,15.8,67.0,ジュビロ磐田,iwata,サガン鳥栖,tosu,3,1,2,3,2,1,8,9,14,13,4,17
14864,2013/03/30,13:04,大阪長居スタジアム,13721,晴,16.1,26.0,セレッソ大阪,cosaka,ベガルタ仙台,sendai,1,0,1,1,1,0,10,2,6,10,2,9
