id,game_day,kickoff_time,stadium_name,spectators_num,weather,temperature,humidity,home_team_name,home_team_id,away_team_name,away_team_id,home_score,home_score_1st,home_score_2nd,away_score,away_score_1st,away_score_2nd,home_sh,home_ck,home_fk,away_sh,away_ck,away_fk
27328,2022/02/18,19:05,等々力陸上競技場,17544,晴,7.7,32.0,川崎フロンターレ,kawasakif,ＦＣ東京,ftokyo,1,0,1,0,0,0,9,5,14,12,12,18
27376,2022/04/02,15:03,レモンガススタジアム平塚,7877,晴,13.3,31.0,湘南ベルマーレ,shonan,サンフレッチェ広島,hiroshima,0,0,0,1,0,1,7,3,14,12,1,15
27380,2022/04/02,14:03,パナソニック スタジアム 吹田,13685,晴時々曇,14.3,20.0,ガンバ大阪,gosaka,名古屋グランパス,nagoya,3,1,2,1,0,1,14,4,11,12,10,15
27373,2022/04/01,19:04,ベスト電器スタジアム,7993,晴,11.7,41.0,アビスパ福岡,fukuoka,サガン鳥栖,tosu,0,0,0,0,0,0,7,6,17,3,3,14
27372,2022/03/20,14:03,豊田スタジアム,11859,晴,14.5,20.0,名古屋グランパス,nagoya,柏レイソル,kashiwa,1,1,0,1,1,0,10,6,13,8,8,10
27371,2022/03/19,16:03,ヨドコウ桜スタジアム,6798,曇時々雨,12.7,59.0,セレッソ大阪,cosaka,北海道コンサドーレ札幌,sapporo,2,1,1,2,1,1,4,2,18,13,7,13
27370,2022/03/19,15:04,埼玉スタジアム２００２,24207,曇のち雨,16.5,40.0,浦和レッズ,urawa,ジュビロ磐田,iwata,4,3,1,1,1,0,18,3,8,8,4,7
27369,2022/03/19,15:03,県立カシマサッカースタジアム,10251,晴のち曇,15.8,37.0,鹿島アントラーズ,kashima,湘南ベルマーレ,shonan,2,0,2,1,1,0,11,4,19,6,7,15
27368,2022/03/19,14:03,エディオンスタジアム広島,7544,雨,11.7,88.0,サンフレッチェ広島,hiroshima,川崎フロンターレ,kawasakif,0,0,0,2,0,2,13,4,12,8,6,15
27365,2022/03/19,14:03,ＩＡＩスタジアム日本平,13106,晴,19.8,42.0,清水エスパルス,shimizu,ヴィッセル神戸,kobe,0,0,0,0,0,0,7,5,7,13,9,12
27367,2022/03/19,14:03,パナソニック スタジアム 吹田,11133,雨,13.2,28.0,ガンバ大阪,gosaka,アビスパ福岡,fukuoka,2,0,2,3,1,2,7,4,17,7,3,20
27366,2022/03/19,14:03,サンガスタジアム by ＫＹＯＣＥＲＡ,10790,曇のち雨,10.3,65.0,京都サンガF.C.,kyoto,ＦＣ東京,ftokyo,0,0,0,1,0,1,8,7,12,3,11,17
